DateKey;Date;Day;Month;ShortMonth;MonthNo;Quarter;Year
20050701;1.07.2011;Friday;July;Jul;7;3;2011
20050702;2.07.2011;Saturday;July;Jul;7;3;2011
20050703;3.07.2011;Sunday;July;Jul;7;3;2011
20050704;4.07.2011;Monday;July;Jul;7;3;2011
20050705;5.07.2011;Tuesday;July;Jul;7;3;2011
20050706;6.07.2011;Wednesday;July;Jul;7;3;2011
20050707;7.07.2011;Thursday;July;Jul;7;3;2011
20050708;8.07.2011;Friday;July;Jul;7;3;2011
20050709;9.07.2011;Saturday;July;Jul;7;3;2011
20050710;10.07.2011;Sunday;July;Jul;7;3;2011
20050711;11.07.2011;Monday;July;Jul;7;3;2011
20050712;12.07.2011;Tuesday;July;Jul;7;3;2011
20050713;13.07.2011;Wednesday;July;Jul;7;3;2011
20050714;14.07.2011;Thursday;July;Jul;7;3;2011
20050715;15.07.2011;Friday;July;Jul;7;3;2011
20050716;16.07.2011;Saturday;July;Jul;7;3;2011
20050717;17.07.2011;Sunday;July;Jul;7;3;2011
20050718;18.07.2011;Monday;July;Jul;7;3;2011
20050719;19.07.2011;Tuesday;July;Jul;7;3;2011
20050720;20.07.2011;Wednesday;July;Jul;7;3;2011
20050721;21.07.2011;Thursday;July;Jul;7;3;2011
20050722;22.07.2011;Friday;July;Jul;7;3;2011
20050723;23.07.2011;Saturday;July;Jul;7;3;2011
20050724;24.07.2011;Sunday;July;Jul;7;3;2011
20050725;25.07.2011;Monday;July;Jul;7;3;2011
20050726;26.07.2011;Tuesday;July;Jul;7;3;2011
20050727;27.07.2011;Wednesday;July;Jul;7;3;2011
20050728;28.07.2011;Thursday;July;Jul;7;3;2011
20050729;29.07.2011;Friday;July;Jul;7;3;2011
20050730;30.07.2011;Saturday;July;Jul;7;3;2011
20050731;31.07.2011;Sunday;July;Jul;7;3;2011
20050801;1.08.2011;Monday;August;Aug;8;3;2011
20050802;2.08.2011;Tuesday;August;Aug;8;3;2011
20050803;3.08.2011;Wednesday;August;Aug;8;3;2011
20050804;4.08.2011;Thursday;August;Aug;8;3;2011
20050805;5.08.2011;Friday;August;Aug;8;3;2011
20050806;6.08.2011;Saturday;August;Aug;8;3;2011
20050807;7.08.2011;Sunday;August;Aug;8;3;2011
20050808;8.08.2011;Monday;August;Aug;8;3;2011
20050809;9.08.2011;Tuesday;August;Aug;8;3;2011
20050810;10.08.2011;Wednesday;August;Aug;8;3;2011
20050811;11.08.2011;Thursday;August;Aug;8;3;2011
20050812;12.08.2011;Friday;August;Aug;8;3;2011
20050813;13.08.2011;Saturday;August;Aug;8;3;2011
20050814;14.08.2011;Sunday;August;Aug;8;3;2011
20050815;15.08.2011;Monday;August;Aug;8;3;2011
20050816;16.08.2011;Tuesday;August;Aug;8;3;2011
20050817;17.08.2011;Wednesday;August;Aug;8;3;2011
20050818;18.08.2011;Thursday;August;Aug;8;3;2011
20050819;19.08.2011;Friday;August;Aug;8;3;2011
20050820;20.08.2011;Saturday;August;Aug;8;3;2011
20050821;21.08.2011;Sunday;August;Aug;8;3;2011
20050822;22.08.2011;Monday;August;Aug;8;3;2011
20050823;23.08.2011;Tuesday;August;Aug;8;3;2011
20050824;24.08.2011;Wednesday;August;Aug;8;3;2011
20050825;25.08.2011;Thursday;August;Aug;8;3;2011
20050826;26.08.2011;Friday;August;Aug;8;3;2011
20050827;27.08.2011;Saturday;August;Aug;8;3;2011
20050828;28.08.2011;Sunday;August;Aug;8;3;2011
20050829;29.08.2011;Monday;August;Aug;8;3;2011
20050830;30.08.2011;Tuesday;August;Aug;8;3;2011
20050831;31.08.2011;Wednesday;August;Aug;8;3;2011
20050901;1.09.2011;Thursday;September;Sep;9;3;2011
20050902;2.09.2011;Friday;September;Sep;9;3;2011
20050903;3.09.2011;Saturday;September;Sep;9;3;2011
20050904;4.09.2011;Sunday;September;Sep;9;3;2011
20050905;5.09.2011;Monday;September;Sep;9;3;2011
20050906;6.09.2011;Tuesday;September;Sep;9;3;2011
20050907;7.09.2011;Wednesday;September;Sep;9;3;2011
20050908;8.09.2011;Thursday;September;Sep;9;3;2011
20050909;9.09.2011;Friday;September;Sep;9;3;2011
20050910;10.09.2011;Saturday;September;Sep;9;3;2011
20050911;11.09.2011;Sunday;September;Sep;9;3;2011
20050912;12.09.2011;Monday;September;Sep;9;3;2011
20050913;13.09.2011;Tuesday;September;Sep;9;3;2011
20050914;14.09.2011;Wednesday;September;Sep;9;3;2011
20050915;15.09.2011;Thursday;September;Sep;9;3;2011
20050916;16.09.2011;Friday;September;Sep;9;3;2011
20050917;17.09.2011;Saturday;September;Sep;9;3;2011
20050918;18.09.2011;Sunday;September;Sep;9;3;2011
20050919;19.09.2011;Monday;September;Sep;9;3;2011
20050920;20.09.2011;Tuesday;September;Sep;9;3;2011
20050921;21.09.2011;Wednesday;September;Sep;9;3;2011
20050922;22.09.2011;Thursday;September;Sep;9;3;2011
20050923;23.09.2011;Friday;September;Sep;9;3;2011
20050924;24.09.2011;Saturday;September;Sep;9;3;2011
20050925;25.09.2011;Sunday;September;Sep;9;3;2011
20050926;26.09.2011;Monday;September;Sep;9;3;2011
20050927;27.09.2011;Tuesday;September;Sep;9;3;2011
20050928;28.09.2011;Wednesday;September;Sep;9;3;2011
20050929;29.09.2011;Thursday;September;Sep;9;3;2011
20050930;30.09.2011;Friday;September;Sep;9;3;2011
20051001;1.10.2011;Saturday;October;Oct;10;4;2011
20051002;2.10.2011;Sunday;October;Oct;10;4;2011
20051003;3.10.2011;Monday;October;Oct;10;4;2011
20051004;4.10.2011;Tuesday;October;Oct;10;4;2011
20051005;5.10.2011;Wednesday;October;Oct;10;4;2011
20051006;6.10.2011;Thursday;October;Oct;10;4;2011
20051007;7.10.2011;Friday;October;Oct;10;4;2011
20051008;8.10.2011;Saturday;October;Oct;10;4;2011
20051009;9.10.2011;Sunday;October;Oct;10;4;2011
20051010;10.10.2011;Monday;October;Oct;10;4;2011
20051011;11.10.2011;Tuesday;October;Oct;10;4;2011
20051012;12.10.2011;Wednesday;October;Oct;10;4;2011
20051013;13.10.2011;Thursday;October;Oct;10;4;2011
20051014;14.10.2011;Friday;October;Oct;10;4;2011
20051015;15.10.2011;Saturday;October;Oct;10;4;2011
20051016;16.10.2011;Sunday;October;Oct;10;4;2011
20051017;17.10.2011;Monday;October;Oct;10;4;2011
20051018;18.10.2011;Tuesday;October;Oct;10;4;2011
20051019;19.10.2011;Wednesday;October;Oct;10;4;2011
20051020;20.10.2011;Thursday;October;Oct;10;4;2011
20051021;21.10.2011;Friday;October;Oct;10;4;2011
20051022;22.10.2011;Saturday;October;Oct;10;4;2011
20051023;23.10.2011;Sunday;October;Oct;10;4;2011
20051024;24.10.2011;Monday;October;Oct;10;4;2011
20051025;25.10.2011;Tuesday;October;Oct;10;4;2011
20051026;26.10.2011;Wednesday;October;Oct;10;4;2011
20051027;27.10.2011;Thursday;October;Oct;10;4;2011
20051028;28.10.2011;Friday;October;Oct;10;4;2011
20051029;29.10.2011;Saturday;October;Oct;10;4;2011
20051030;30.10.2011;Sunday;October;Oct;10;4;2011
20051031;31.10.2011;Monday;October;Oct;10;4;2011
20051101;1.11.2011;Tuesday;November;Nov;11;4;2011
20051102;2.11.2011;Wednesday;November;Nov;11;4;2011
20051103;3.11.2011;Thursday;November;Nov;11;4;2011
20051104;4.11.2011;Friday;November;Nov;11;4;2011
20051105;5.11.2011;Saturday;November;Nov;11;4;2011
20051106;6.11.2011;Sunday;November;Nov;11;4;2011
20051107;7.11.2011;Monday;November;Nov;11;4;2011
20051108;8.11.2011;Tuesday;November;Nov;11;4;2011
20051109;9.11.2011;Wednesday;November;Nov;11;4;2011
20051110;10.11.2011;Thursday;November;Nov;11;4;2011
20051111;11.11.2011;Friday;November;Nov;11;4;2011
20051112;12.11.2011;Saturday;November;Nov;11;4;2011
20051113;13.11.2011;Sunday;November;Nov;11;4;2011
20051114;14.11.2011;Monday;November;Nov;11;4;2011
20051115;15.11.2011;Tuesday;November;Nov;11;4;2011
20051116;16.11.2011;Wednesday;November;Nov;11;4;2011
20051117;17.11.2011;Thursday;November;Nov;11;4;2011
20051118;18.11.2011;Friday;November;Nov;11;4;2011
20051119;19.11.2011;Saturday;November;Nov;11;4;2011
20051120;20.11.2011;Sunday;November;Nov;11;4;2011
20051121;21.11.2011;Monday;November;Nov;11;4;2011
20051122;22.11.2011;Tuesday;November;Nov;11;4;2011
20051123;23.11.2011;Wednesday;November;Nov;11;4;2011
20051124;24.11.2011;Thursday;November;Nov;11;4;2011
20051125;25.11.2011;Friday;November;Nov;11;4;2011
20051126;26.11.2011;Saturday;November;Nov;11;4;2011
20051127;27.11.2011;Sunday;November;Nov;11;4;2011
20051128;28.11.2011;Monday;November;Nov;11;4;2011
20051129;29.11.2011;Tuesday;November;Nov;11;4;2011
20051130;30.11.2011;Wednesday;November;Nov;11;4;2011
20051201;1.12.2011;Thursday;December;Dec;12;4;2011
20051202;2.12.2011;Friday;December;Dec;12;4;2011
20051203;3.12.2011;Saturday;December;Dec;12;4;2011
20051204;4.12.2011;Sunday;December;Dec;12;4;2011
20051205;5.12.2011;Monday;December;Dec;12;4;2011
20051206;6.12.2011;Tuesday;December;Dec;12;4;2011
20051207;7.12.2011;Wednesday;December;Dec;12;4;2011
20051208;8.12.2011;Thursday;December;Dec;12;4;2011
20051209;9.12.2011;Friday;December;Dec;12;4;2011
20051210;10.12.2011;Saturday;December;Dec;12;4;2011
20051211;11.12.2011;Sunday;December;Dec;12;4;2011
20051212;12.12.2011;Monday;December;Dec;12;4;2011
20051213;13.12.2011;Tuesday;December;Dec;12;4;2011
20051214;14.12.2011;Wednesday;December;Dec;12;4;2011
20051215;15.12.2011;Thursday;December;Dec;12;4;2011
20051216;16.12.2011;Friday;December;Dec;12;4;2011
20051217;17.12.2011;Saturday;December;Dec;12;4;2011
20051218;18.12.2011;Sunday;December;Dec;12;4;2011
20051219;19.12.2011;Monday;December;Dec;12;4;2011
20051220;20.12.2011;Tuesday;December;Dec;12;4;2011
20051221;21.12.2011;Wednesday;December;Dec;12;4;2011
20051222;22.12.2011;Thursday;December;Dec;12;4;2011
20051223;23.12.2011;Friday;December;Dec;12;4;2011
20051224;24.12.2011;Saturday;December;Dec;12;4;2011
20051225;25.12.2011;Sunday;December;Dec;12;4;2011
20051226;26.12.2011;Monday;December;Dec;12;4;2011
20051227;27.12.2011;Tuesday;December;Dec;12;4;2011
20051228;28.12.2011;Wednesday;December;Dec;12;4;2011
20051229;29.12.2011;Thursday;December;Dec;12;4;2011
20051230;30.12.2011;Friday;December;Dec;12;4;2011
20051231;31.12.2011;Saturday;December;Dec;12;4;2011
20060101;1.01.2012;Sunday;January;Jan;1;1;2012
20060102;2.01.2012;Monday;January;Jan;1;1;2012
20060103;3.01.2012;Tuesday;January;Jan;1;1;2012
20060104;4.01.2012;Wednesday;January;Jan;1;1;2012
20060105;5.01.2012;Thursday;January;Jan;1;1;2012
20060106;6.01.2012;Friday;January;Jan;1;1;2012
20060107;7.01.2012;Saturday;January;Jan;1;1;2012
20060108;8.01.2012;Sunday;January;Jan;1;1;2012
20060109;9.01.2012;Monday;January;Jan;1;1;2012
20060110;10.01.2012;Tuesday;January;Jan;1;1;2012
20060111;11.01.2012;Wednesday;January;Jan;1;1;2012
20060112;12.01.2012;Thursday;January;Jan;1;1;2012
20060113;13.01.2012;Friday;January;Jan;1;1;2012
20060114;14.01.2012;Saturday;January;Jan;1;1;2012
20060115;15.01.2012;Sunday;January;Jan;1;1;2012
20060116;16.01.2012;Monday;January;Jan;1;1;2012
20060117;17.01.2012;Tuesday;January;Jan;1;1;2012
20060118;18.01.2012;Wednesday;January;Jan;1;1;2012
20060119;19.01.2012;Thursday;January;Jan;1;1;2012
20060120;20.01.2012;Friday;January;Jan;1;1;2012
20060121;21.01.2012;Saturday;January;Jan;1;1;2012
20060122;22.01.2012;Sunday;January;Jan;1;1;2012
20060123;23.01.2012;Monday;January;Jan;1;1;2012
20060124;24.01.2012;Tuesday;January;Jan;1;1;2012
20060125;25.01.2012;Wednesday;January;Jan;1;1;2012
20060126;26.01.2012;Thursday;January;Jan;1;1;2012
20060127;27.01.2012;Friday;January;Jan;1;1;2012
20060128;28.01.2012;Saturday;January;Jan;1;1;2012
20060129;29.01.2012;Sunday;January;Jan;1;1;2012
20060130;30.01.2012;Monday;January;Jan;1;1;2012
20060131;31.01.2012;Tuesday;January;Jan;1;1;2012
20060201;1.02.2012;Wednesday;February;Feb;2;1;2012
20060202;2.02.2012;Thursday;February;Feb;2;1;2012
20060203;3.02.2012;Friday;February;Feb;2;1;2012
20060204;4.02.2012;Saturday;February;Feb;2;1;2012
20060205;5.02.2012;Sunday;February;Feb;2;1;2012
20060206;6.02.2012;Monday;February;Feb;2;1;2012
20060207;7.02.2012;Tuesday;February;Feb;2;1;2012
20060208;8.02.2012;Wednesday;February;Feb;2;1;2012
20060209;9.02.2012;Thursday;February;Feb;2;1;2012
20060210;10.02.2012;Friday;February;Feb;2;1;2012
20060211;11.02.2012;Saturday;February;Feb;2;1;2012
20060212;12.02.2012;Sunday;February;Feb;2;1;2012
20060213;13.02.2012;Monday;February;Feb;2;1;2012
20060214;14.02.2012;Tuesday;February;Feb;2;1;2012
20060215;15.02.2012;Wednesday;February;Feb;2;1;2012
20060216;16.02.2012;Thursday;February;Feb;2;1;2012
20060217;17.02.2012;Friday;February;Feb;2;1;2012
20060218;18.02.2012;Saturday;February;Feb;2;1;2012
20060219;19.02.2012;Sunday;February;Feb;2;1;2012
20060220;20.02.2012;Monday;February;Feb;2;1;2012
20060221;21.02.2012;Tuesday;February;Feb;2;1;2012
20060222;22.02.2012;Wednesday;February;Feb;2;1;2012
20060223;23.02.2012;Thursday;February;Feb;2;1;2012
20060224;24.02.2012;Friday;February;Feb;2;1;2012
20060225;25.02.2012;Saturday;February;Feb;2;1;2012
20060226;26.02.2012;Sunday;February;Feb;2;1;2012
20060227;27.02.2012;Monday;February;Feb;2;1;2012
20060228;28.02.2012;Tuesday;February;Feb;2;1;2012
20060301;29.02.2012;Wednesday;March;Mar;3;1;2012
20060302;1.03.2012;Thursday;March;Mar;3;1;2012
20060303;2.03.2012;Friday;March;Mar;3;1;2012
20060304;3.03.2012;Saturday;March;Mar;3;1;2012
20060305;4.03.2012;Sunday;March;Mar;3;1;2012
20060306;5.03.2012;Monday;March;Mar;3;1;2012
20060307;6.03.2012;Tuesday;March;Mar;3;1;2012
20060308;7.03.2012;Wednesday;March;Mar;3;1;2012
20060309;8.03.2012;Thursday;March;Mar;3;1;2012
20060310;9.03.2012;Friday;March;Mar;3;1;2012
20060311;10.03.2012;Saturday;March;Mar;3;1;2012
20060312;11.03.2012;Sunday;March;Mar;3;1;2012
20060313;12.03.2012;Monday;March;Mar;3;1;2012
20060314;13.03.2012;Tuesday;March;Mar;3;1;2012
20060315;14.03.2012;Wednesday;March;Mar;3;1;2012
20060316;15.03.2012;Thursday;March;Mar;3;1;2012
20060317;16.03.2012;Friday;March;Mar;3;1;2012
20060318;17.03.2012;Saturday;March;Mar;3;1;2012
20060319;18.03.2012;Sunday;March;Mar;3;1;2012
20060320;19.03.2012;Monday;March;Mar;3;1;2012
20060321;20.03.2012;Tuesday;March;Mar;3;1;2012
20060322;21.03.2012;Wednesday;March;Mar;3;1;2012
20060323;22.03.2012;Thursday;March;Mar;3;1;2012
20060324;23.03.2012;Friday;March;Mar;3;1;2012
20060325;24.03.2012;Saturday;March;Mar;3;1;2012
20060326;25.03.2012;Sunday;March;Mar;3;1;2012
20060327;26.03.2012;Monday;March;Mar;3;1;2012
20060328;27.03.2012;Tuesday;March;Mar;3;1;2012
20060329;28.03.2012;Wednesday;March;Mar;3;1;2012
20060330;29.03.2012;Thursday;March;Mar;3;1;2012
20060331;30.03.2012;Friday;March;Mar;3;1;2012
20060401;31.03.2012;Saturday;April;Apr;4;2;2012
20060402;1.04.2012;Sunday;April;Apr;4;2;2012
20060403;2.04.2012;Monday;April;Apr;4;2;2012
20060404;3.04.2012;Tuesday;April;Apr;4;2;2012
20060405;4.04.2012;Wednesday;April;Apr;4;2;2012
20060406;5.04.2012;Thursday;April;Apr;4;2;2012
20060407;6.04.2012;Friday;April;Apr;4;2;2012
20060408;7.04.2012;Saturday;April;Apr;4;2;2012
20060409;8.04.2012;Sunday;April;Apr;4;2;2012
20060410;9.04.2012;Monday;April;Apr;4;2;2012
20060411;10.04.2012;Tuesday;April;Apr;4;2;2012
20060412;11.04.2012;Wednesday;April;Apr;4;2;2012
20060413;12.04.2012;Thursday;April;Apr;4;2;2012
20060414;13.04.2012;Friday;April;Apr;4;2;2012
20060415;14.04.2012;Saturday;April;Apr;4;2;2012
20060416;15.04.2012;Sunday;April;Apr;4;2;2012
20060417;16.04.2012;Monday;April;Apr;4;2;2012
20060418;17.04.2012;Tuesday;April;Apr;4;2;2012
20060419;18.04.2012;Wednesday;April;Apr;4;2;2012
20060420;19.04.2012;Thursday;April;Apr;4;2;2012
20060421;20.04.2012;Friday;April;Apr;4;2;2012
20060422;21.04.2012;Saturday;April;Apr;4;2;2012
20060423;22.04.2012;Sunday;April;Apr;4;2;2012
20060424;23.04.2012;Monday;April;Apr;4;2;2012
20060425;24.04.2012;Tuesday;April;Apr;4;2;2012
20060426;25.04.2012;Wednesday;April;Apr;4;2;2012
20060427;26.04.2012;Thursday;April;Apr;4;2;2012
